CO2_1;CO2_2;CO2_medium;Temp_1;Temp_2;Temp_medium;Accuracy_1;Accuracy_2;Min_CO2_1;Min_CO2_2; time
387.000;376.000;381.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;0.000;
436.000;398.000;417.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;1.000;
500.000;462.000;481.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;2.000;
533.000;519.000;526.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;3.000;
579.000;555.000;567.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;4.000;
640.000;585.000;612.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;5.000;
644.000;643.000;643.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;6.000;
646.000;646.000;646.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;7.000;
650.000;650.000;650.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;8.000;
656.000;654.000;655.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;9.000;
663.000;660.000;661.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;10.000;
672.000;667.000;669.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;11.000;
682.000;675.000;678.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;12.000;
694.000;684.000;689.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;13.000;
706.000;694.000;700.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;14.000;
719.000;701.000;710.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;15.000;
733.000;713.000;723.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;16.000;
747.000;725.000;736.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;17.000;
762.000;737.000;749.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;18.000;
1994.000;1808.000;1901.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;19.000;
4202.000;3892.000;4047.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;20.000;
5000.000;4889.000;4944.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;21.000;
5000.000;5000.000;5000.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;22.000;
5000.000;5000.000;5000.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;23.000;
5000.000;5000.000;5000.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;24.000;
5000.000;5000.000;5000.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;25.000;
5000.000;4962.000;4981.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;26.000;
5000.000;4778.000;4889.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;27.000;
5000.000;4436.000;4718.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;28.000;
4695.000;4095.000;4395.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;29.000;
4202.000;3845.000;4023.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;30.000;
3876.000;3664.000;3770.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;31.000;
3669.000;3495.000;3582.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;32.000;
3491.000;3343.000;3417.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;33.000;
3339.000;3214.000;3276.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;34.000;
3214.000;3109.000;3161.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;35.000;
3116.000;3050.000;3083.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;36.000;
3085.000;3049.000;3067.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;37.000;
3083.000;3047.000;3065.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;38.000;
3081.000;3046.000;3063.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;39.000;
3079.000;3044.000;3061.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;40.000;
3077.000;3043.000;3060.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;41.000;
3075.000;3043.000;3059.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;42.000;
3073.000;3041.000;3057.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;43.000;
3070.000;3040.000;3055.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;44.000;
3067.000;3038.000;3052.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;45.000;
2963.000;3035.000;2999.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;46.000;
2830.000;3033.000;2931.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;47.000;
2757.000;2918.000;2837.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;48.000;
2702.000;2821.000;2761.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;49.000;
2641.000;2768.000;2704.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;50.000;
2577.000;2708.000;2642.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;51.000;
2509.000;2641.000;2575.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;52.000;
2440.000;2571.000;2505.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;53.000;
2371.000;2499.000;2435.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;54.000;
2305.000;2450.000;2377.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;55.000;
2242.000;2378.000;2310.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;56.000;
2184.000;2309.000;2246.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;57.000;
2129.000;2246.000;2187.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;58.000;
2080.000;2188.000;2134.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;59.000;
2037.000;2138.000;2087.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;60.000;
1994.000;2095.000;2044.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;61.000;
1979.000;2081.000;2030.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;62.000;
1977.000;2080.000;2028.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;63.000;
1975.000;2079.000;2027.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;64.000;
1973.000;2078.000;2025.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;65.000;
1971.000;2078.000;2024.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;66.000;
1968.000;2077.000;2022.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;67.000;
1966.000;2076.000;2021.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;68.000;
1963.000;2075.000;2019.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;69.000;
1960.000;2074.000;2017.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;70.000;
1958.000;2073.000;2015.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;71.000;
1953.000;2072.000;2012.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;72.000;
1949.000;2070.000;2009.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;73.000;
1946.000;2068.000;2007.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;74.000;
1941.000;2067.000;2004.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;75.000;
1937.000;2065.000;2001.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;76.000;
1932.000;2062.000;1997.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;77.000;
1926.000;1999.000;1962.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;78.000;
1920.000;1814.000;1867.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;79.000;
1914.000;1672.000;1793.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;80.000;
